tweet_id,customer_message,draft_reply,retrieved_evidence,predicted_intent,predicted_response_behavior,predicted_handling,llm_relevance,llm_groundedness,llm_helpfulness,llm_safety,human_relevance,human_groundedness,human_helpfulness,human_safety,human_notes
1220498,@AppleSupport I have not received verification that you received my broken 6S and removed the hold you have on my account pending your receipt of my unusable broken iphone.,Thanks for reaching out! We'd like to take a closer look at this with you -- could you send us a DM with a bit more detail so we can help further?,"[1] similarity=1.000 response_type=DM handoff
    historical customer message: @AppleSupport I have not received verification that you received my broken 6S and removed the hold you have on my account pending your receipt of my unusable broken iphone.
    historical AppleSupport reply: @173692 Please send us a DM and we will look into this together. https://t.co/GDrqU22YpT
[2] similarity=0.321 response_type=clarifying question
    historical customer message: Dear @115858, how does one schedule an appointment for a unusable broken phone when they're required to enter a code that has been sent to said unusable broken phone? Asking for myself.
    historical AppleSupport reply: @774556 We are here to help whenever possible. What specifically is broken with your iPhone?
[3] similarity=0.248 response_type=DM handoff
    historical customer message: I need @AppleSupport to save me tomorrow and get some life out of my broken iPhone!
    historical AppleSupport reply: @776015 We can help with your iPhone. Meet us in DM with details of what's happening. https://t.co/GDrqU22YpT","Account, Purchases & Billing",dm_handoff,ESCALATE,4,5,3,5,,,,,
588045,@AppleSupport why does everything have to be so complicated with Apple photos? Trying to make a Photobook and all my files are .heic and .mov. I just want a jpg...,Thanks for reaching out! In similar cases we've suggested: We recommend reaching out to our Photos experts for help with your photo book. You can reach out to them here: https://t.co/IBIY3vMgPj Let us know if that helps.,"[1] similarity=1.000 response_type=direct instruction/link
    historical customer message: @AppleSupport why does everything have to be so complicated with Apple photos? Trying to make a Photobook and all my files are .heic and .mov. I just want a jpg...
    historical AppleSupport reply: @258957 We recommend reaching out to our Photos experts for help with your photo book. You can reach out to them here: https://t.co/IBIY3vMgPj
[2] similarity=0.223 response_type=DM handoff
    historical customer message: Any idea on how I can just pull out all the jpg files from all these containing folders at once? @AppleSupport ""kind:jpg"" doesn't work btw https://t.co/XCpCpu97n9
    historical AppleSupport reply: @565111 We are happy help if you're still experiencing this issue. Send us a DM if you have any additional questions. https://t.co/GDrqU2kzhr
[3] similarity=0.212 response_type=DM handoff
    historical customer message: @AppleSupport Hey, how do I turn off heic files? I can't email my photos to anyone anymore because they are no longer jpg. Really annoying and inconvenient. Hate this new update and now hate iPhones.
    historical AppleSupport reply: @283999 Hey there, thanks for reaching out to us. Please send us a DM, and we'll take a look into this with you. https://t.co/GDrqU22YpT",Apple Music / iCloud Sync & Data Loss,direct_instruction,ESCALATE,5,5,4,5,,,,,
2747364,"@AppleSupport Since updating my Iphone 6S + has stopped backing up my photos to Icloud. It is enabled in settings, have done cold boot but still not working. Please help as I use this a lot.","Thanks for letting us know. We're here to help! Let's see what we can do about getting your device to back up your photos to iCloud. Since experiencing this issue, have you check to see how much storage space is available in iCloud? To find out, navigate to: Settings &gt; [name] &gt; iCloud. (Similar cases needed this detail before we could help further.)","[1] similarity=1.000 response_type=clarifying question
    historical customer message: @AppleSupport Since updating my Iphone 6S + has stopped backing up my photos to Icloud. It is enabled in settings, have done cold boot but still not working. Please help as I use this a lot.
    historical AppleSupport reply: @769299 We're here to help! Let's see what we can do about getting your device to back up your photos to iCloud. Since experiencing this issue, have you check to see how much storage space is available in iCloud? To find out, navigate to: Settings &gt; [name] &gt; iCloud.
[2] similarity=0.248 response_type=DM handoff
    historical customer message: @115858 How come my iphone 6s stopped working after the new phone came out?? #insidejob
    historical AppleSupport reply: @287994 We'd be happy to help! What's happening with your iPhone 6S? You can also DM us if you'd like: https://t.co/GDrqU22YpT
[3] similarity=0.242 response_type=clarifying question
    historical customer message: @AppleSupport why my photos not backing up ?
    historical AppleSupport reply: @326973 We know how important it is to back up your photos. We'll help. Which device are you using? Do you usually back up to iCloud?",Apple Music / iCloud Sync & Data Loss,clarifying_question,AUTO-HANDLE,5,5,4,5,,,,,
2516003,#Apple #iPhone #iOSBugs #iOS11 .1 https://t.co/LbWoPmjMro,Thanks for reaching out! In similar cases we've suggested: We're here for you. Does this persist after closing the app and restarting your iPhone? Let us know once you get the chance to test using those steps. Let us know if that helps.,"[1] similarity=1.000 response_type=direct instruction/link
    historical customer message: #Apple #iPhone #iOSBugs #iOS11 .1 https://t.co/LbWoPmjMro
    historical AppleSupport reply: @128696 We're here for you. Does this persist after closing the app and restarting your iPhone? Let us know once you get the chance to test using those steps.
[2] similarity=0.442 response_type=DM handoff
    historical customer message: Anyone having issues with the lockscreen on 11.1.2? I got an iPhone 7 and the lockscreen doesnt show anything I cant do nothing on it. @115858 @116333 #ios #apple #iphone #iosbugs #iosbug #fixthisshitapple
    historical AppleSupport reply: @253585 Hey there. Let us help you out with your iPhone 7. Send us a DM and we'll meet you there. https://t.co/GDrqU22YpT
[3] similarity=0.377 response_type=DM handoff
    historical customer message: Who else has this iPhone H(I️)V? @AppleSupport  what’s going on? #wheresmyeye #iosbugs
    historical AppleSupport reply: @591268 We're happy to look into this with you. Which software version is installed?  Send us a DM and we'll get started. https://t.co/GDrqU22YpT",General / Pre-Purchase Inquiry,direct_instruction,ESCALATE,3,5,3,5,,,,,
2093783,@AppleSupport yea why am I️ paying 67989 for a phone that GLITCHES WHEN I️ USE THE I️ AND WHY HAVENT YOU FIXED IT YET?!,Thanks for reaching out! In similar cases we've suggested: Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 Let us know if that helps.,"[1] similarity=1.000 response_type=direct instruction/link
    historical customer message: @AppleSupport yea why am I️ paying 67989 for a phone that GLITCHES WHEN I️ USE THE I️ AND WHY HAVENT YOU FIXED IT YET?!
    historical AppleSupport reply: @618654 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
[2] similarity=0.489 response_type=direct instruction/link
    historical customer message: @AppleSupport yea...soooo I️ can’t do this...please help
    historical AppleSupport reply: @435251  Check out our article https://t.co/xU1AGHStV6 if you're seeing this issue, let us know if we can still help.
[3] similarity=0.486 response_type=direct instruction/link
    historical customer message: @AppleSupport yea, I️ can’t type the letter I️. What’s up with that?
    historical AppleSupport reply: @510088 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9",Battery & Performance,direct_instruction,ESCALATE,5,5,4,5,,,,,
845809,"Hey @AppleSupport , my locked screen i8plus cant access the camera by swipe left on ios 11.0.3.. What happen..?","Thanks for reaching out! In similar cases we've suggested: Let’s investigate this together. To start, tell us what happens when you swipe left on the Lock Screen. Let us know if that helps.","[1] similarity=1.000 response_type=confirmation/status
    historical customer message: Hey @AppleSupport , my locked screen i8plus cant access the camera by swipe left on ios 11.0.3.. What happen..?
    historical AppleSupport reply: @321035 Let’s investigate this together. To start, tell us what happens when you swipe left on the Lock Screen.
[2] similarity=0.357 response_type=DM handoff
    historical customer message: @AppleSupport Hi, since 11.1.1 on my SE, I cannot swipe left on the lock screen to get to camera if there's a screen full of notifications. I either have to clear them or access camera by the icon itself.
    historical AppleSupport reply: @708485 Thanks for reaching out! Let's see what's going on. Have you tried to restart your phone since this started happening? Reply in DM. https://t.co/GDrqU22YpT
[3] similarity=0.350 response_type=DM handoff
    historical customer message: @AppleSupport I HAVE BEEN LOCKED OUT!!!!
    historical AppleSupport reply: @698747 We've received your DM, you can expect a response from us there shortly.",Battery & Performance,confirmation/status,ESCALATE,5,5,4,5,,,,,
2512268,.@AppleSupport updated to ios 11.1.1 now my Bluetooth speakers just a pair of expensive magnets!,"Thanks for reaching out! In similar cases we've suggested: Let's help get this resolved and you connected.  To better assist, what currently happens when you attempt to connect via Bluetooth? Let us know if that helps.","[1] similarity=1.000 response_type=confirmation/status
    historical customer message: .@AppleSupport updated to ios 11.1.1 now my Bluetooth speakers just a pair of expensive magnets!
    historical AppleSupport reply: @715993 Let's help get this resolved and you connected.  To better assist, what currently happens when you attempt to connect via Bluetooth?
[2] similarity=0.436 response_type=DM handoff
    historical customer message: My Apple Watch is messing with my Bluetooth speakers! @115948 @AppleSupport
    historical AppleSupport reply: @524825 Let’s figure this out. Use the link below to DM us some details about the issue you’re noticing, and we’ll go from there. https://t.co/GDrqU22YpT
[3] similarity=0.381 response_type=DM handoff
    historical customer message: @AppleSupport I updated ios to 11.0.2 and this is...what?! https://t.co/jPX8seMpCn
    historical AppleSupport reply: @174548 That's not expected! What kind of iPhone do you have? Does restarting help? DM us, and we'll find a solution together. https://t.co/GDrqU22YpT",Connectivity,confirmation/status,ESCALATE,5,5,3,5,,,,,
1016765,@AppleSupport why my games not working on my phone ? 😑🤔,Thanks for letting us know. We can help out. What occurs when attempting to launch/play games on your iPhone? (Similar cases needed this detail before we could help further.),"[1] similarity=1.000 response_type=clarifying question
    historical customer message: @AppleSupport why my games not working on my phone ? 😑🤔
    historical AppleSupport reply: @360569 We can help out. What occurs when attempting to launch/play games on your iPhone?
[2] similarity=0.415 response_type=direct instruction/link
    historical customer message: @AppleSupport please help. “I️” isn’t working on my phone! 🤦🏻‍♀️
    historical AppleSupport reply: @516053 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
[3] similarity=0.389 response_type=clarifying question
    historical customer message: @115858  Why is facetime not working for me on my phone?????????
    historical AppleSupport reply: @456919 That's a good question. We'll be happy to assist. What exactly are you seeing happen?",Battery & Performance,clarifying_question,ESCALATE,5,5,4,5,,,,,
1328645,@AppleSupport Do you guys really sabotage later models of phones to encourage new sales? I'd hate to think my phone slowing was planned.,Thanks for letting us know. We'd be happy to look into what's causing the slowness. That's never the experience we want for you. What's going on? (Similar cases needed this detail before we could help further.),"[1] similarity=1.000 response_type=clarifying question
    historical customer message: @AppleSupport Do you guys really sabotage later models of phones to encourage new sales? I'd hate to think my phone slowing was planned.
    historical AppleSupport reply: @429978 We'd be happy to look into what's causing the slowness. That's never the experience we want for you. What's going on?
[2] similarity=0.243 response_type=DM handoff
    historical customer message: @AppleSupport you guys really need to fix this bug!
    historical AppleSupport reply: @365334 Thanks for contacting us. We'll be glad to look into this with you. Please DM us. https://t.co/GDrqU22YpT
[3] similarity=0.187 response_type=direct instruction/link
    historical customer message: So when is @115858 releasing the update to fix our phones because I’m getting tired of this: “I️” and my phone slowing down.
    historical AppleSupport reply: @520049 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9",General / Pre-Purchase Inquiry,clarifying_question,ESCALATE,5,5,4,5,,,,,
762520,@AppleSupport y’all do better w/ y’all Apple support ppl. They some racist mfs. 💯‼️,Thanks for reaching out! We'd like to take a closer look at this with you -- could you send us a DM with a bit more detail so we can help further?,"[1] similarity=1.000 response_type=DM handoff
    historical customer message: @AppleSupport y’all do better w/ y’all Apple support ppl. They some racist mfs. 💯‼️
    historical AppleSupport reply: @302187 Please send us a DM and let us know some more details about your experience. https://t.co/GDrqU22YpT
[2] similarity=0.275 response_type=direct instruction/link
    historical customer message: @AppleSupport y’all better fix this I️ bullshit.
    historical AppleSupport reply: @515192 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
[3] similarity=0.238 response_type=DM handoff
    historical customer message: @AppleSupport better get there shit together with this I️ problem!!
    historical AppleSupport reply: @597538 We would like to offer some guidance with this. Please review: https://t.co/xXaXeeSRt9 DM us if you have any questions. https://t.co/GDrqU22YpT","Account, Purchases & Billing",dm_handoff,ESCALATE,4,5,2,5,,,,,
